session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62754fa6f57d0297710cdc34,61532109e21fff7c56edc8b6,APPROVED,2022-05-06 16:41:13.368000,2022-05-06 16:45:27.124000,253.756,35,859,4,99,2022-05-06 17:08:48.165000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Female,No
62754fafe95ba59f18b0f7d6,5e176b2163c7a407ce2f02a1,APPROVED,2022-05-06 16:41:27.880000,2022-05-06 16:44:42.934000,195.054,52,2337,2,100,2022-05-06 17:08:48.313000,C6B5AU5W,United States,United States,Part-Time,English,United States,Female,No
62754fb2f7d7cc7b0b96e0e9,61f2ad10a09e72f23cbaf7aa,APPROVED,2022-05-06 16:41:28.459000,2022-05-06 16:43:30.309000,121.85,24,440,1,100,2022-05-06 17:08:33.250000,C6B5AU5W,United States,United States,Due to start a new job within the next month,English,United States,Male,No
62754fb9bc69e54da1685b3d,6033fd8bc8659800086d87b0,APPROVED,2022-05-06 16:41:32.794000,2022-05-06 16:53:14.529000,701.735,31,1254,12,98,2022-05-06 17:08:48.457000,C6B5AU5W,United States,United States,Full-Time,English,United States,Female,Yes
62754fba8efd6df6c4b73bce,6111308dc631d4011ef43a73,APPROVED,2022-05-06 16:41:33.923000,2022-05-06 16:44:57.742000,203.819,23,408,1,100,2022-05-06 17:08:48.645000,C6B5AU5W,United States,United States,Full-Time,English,United States,Female,DATA EXPIRED
62754fbc32b0e8013ae28b33,5f406d28899a9b1a9ddd609a,APPROVED,2022-05-06 16:41:36.755000,2022-05-06 16:45:52.723000,255.968,42,977,2,100,2022-05-06 17:08:48.800000,C6B5AU5W,Korea,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62754fdba73ab146b3a398fe,5ea9d795dec14d13eb7af3d9,APPROVED,2022-05-06 16:42:06.078000,2022-05-06 16:45:27.222000,201.144,31,1273,1,100,2022-05-06 17:08:33.369000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Male,No
62754fe12b6ac11e8eaedbba,5f402da30ce123154d1f3f84,APPROVED,2022-05-06 16:42:14.084000,2022-05-06 16:49:10.493000,416.409,60,1807,3,100,2022-05-06 17:08:33.482000,C6B5AU5W,United States,United States,Part-Time,English,United States,Male,No
62754fe28d418bd750316448,5e74f18520ab35040b41d526,APPROVED,2022-05-06 16:42:13.595000,2022-05-06 16:49:47.895000,454.3,56,1946,4,100,2022-05-06 17:08:48.958000,C6B5AU5W,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62754fe3640db5071c546b21,5c3faea48cb6f5000180c64b,RETURNED,2022-05-06 16:42:13.644000,,3824.147376,56,1502,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
