Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63555b2bc8c09c5216e4f772,62dc329b9d7c12fc887ac3a0,AWAITING REVIEW,2022-10-23T15:18:04.804000Z,2022-10-23T15:27:52.868000Z,,2022-10-23T15:27:53.230492Z,589,5A34BA6B,379,25,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
63555b3e4460d99b4170f140,5c5aecc774a76f0001a25ced,AWAITING REVIEW,2022-10-23T15:18:22.944000Z,2022-10-23T15:26:17.139000Z,,2022-10-23T15:26:17.485267Z,475,5A34BA6B,2285,35,Male,Mixed,United States,United States,United States,English,Yes,Part-Time
63555b9627d1e7d62637419f,5c0ee9af1d3b19000108191d,AWAITING REVIEW,2022-10-23T15:19:56.765000Z,2022-10-23T15:29:53.749000Z,,2022-10-23T15:29:54.266819Z,597,5A34BA6B,103,34,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
63555bad446ebd78a35f7526,5d6955108c4ab2001aa1b37b,AWAITING REVIEW,2022-10-23T15:20:17.608000Z,2022-10-23T15:26:24.285000Z,,2022-10-23T15:26:24.705583Z,367,5A34BA6B,10,24,Male,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555bc9c4508d5ef877b6c2,5e64876fa46cc2204f34e98a,AWAITING REVIEW,2022-10-23T15:20:44.904000Z,2022-10-23T15:29:32.440000Z,,2022-10-23T15:29:32.810694Z,528,5A34BA6B,2068,53,Female,White,United States,United States,United States,English,No,Full-Time
63555bd0677fd80ad073f22d,61115f0a4e18a19819417fd6,AWAITING REVIEW,2022-10-23T15:20:56.137000Z,2022-10-23T15:24:52.313000Z,,2022-10-23T15:24:52.809908Z,237,5A34BA6B,194,20,Female,White,United States,United States,United States,French,DATA_EXPIRED,DATA_EXPIRED
63555be0446ebd78a35f752c,60fdadec3b1a065b655980a1,AWAITING REVIEW,2022-10-23T15:21:08.122000Z,2022-10-23T15:23:27.985000Z,,2022-10-23T15:23:28.410141Z,140,5A34BA6B,70,26,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555c32e8a6fc4ce7813d26,5c315f577626080001a88cb2,AWAITING REVIEW,2022-10-23T15:22:26.576000Z,2022-10-23T15:35:24.944000Z,,2022-10-23T15:35:25.337181Z,779,5A34BA6B,942,28,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555c5296acf76b59fcf458,6100116227195d64aeb9cdc0,AWAITING REVIEW,2022-10-23T15:23:01.646000Z,2022-10-23T15:25:30.375000Z,,2022-10-23T15:25:30.759396Z,149,5A34BA6B,1387,25,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555c623f75a2728a16cef3,5b75d448be28580001b5a603,AWAITING REVIEW,2022-10-23T15:23:22.338000Z,2022-10-23T15:30:40.918000Z,,2022-10-23T15:30:41.274170Z,439,5A34BA6B,1017,52,Male,Asian,Korea,United States,United States,English,No,DATA_EXPIRED
